OBJECTID,INSPECTOR,INSPECTIONDATE,RESTAREAID,RESTAREANAME,ROADNAME,CARRIAGEWAY,DECLAREDROADNAME,LOCALROADNAME,ROADNUMBER,DIRECTION,RMACLASS,SRNS,NEARESTINTERSECTION,DISTANCEFROMINT,DIRECTIONFROMINT,TDI,LOCALITY,MUNICIPALITY,VICROADSREGION,VCSDMAPREF,LATITUDE,LONGITUDE,RESTAREATYPE,RESTAREACATEGORY,SUITABLEASTIRA,SITELOCATION,ROADSPEEDLIMIT,BUFFERZONE,BUFFERWIDTH,SURFACETYPE,SURFACECONDITION,DELINEATEDPARKING,TOILETS,DISABLEDTOILETS,TOILETSEWERAGE,PICNICTABLES,BBQ,RUBBISHBINS,WATER,SHADESHELTERPICNIC,SHADESHELTERPARKING,SHADEEXTENT,SHADEDURATION,LIGHTING,TOURISTINFO,COMMERCIALACTIVITY,DRIVERREVIVER,CAMPING,FACILITIESCOMMENTS,NUMBERCARSPACES,NUMBERCARAVANSPACES,NUMBERTRUCKSPACES,NUMBERBDOUBLESPACES,NUMBERHPFVSPACES,TOTALPARKINGAREA,PARKINGCOMMENTS,CARAVANACCESS,TRUCKACCESS,BDOUBLEACCESS,HPFVACCESS,ODVEHICLEACCESS,APPROACHLINEOFSIGHT,EGRESSLINEOFSIGHT,OPPOSITEACCESS,OPPOSITEEGRESS,SIGNAGEMARKINGS,RESTAREASPEEDLIMIT,PEDESTRIANCONFLICT,ACCESSCOMMENTS,SITEAMENITY,FEATURESOFINTEREST,AMENITYCOMMENTS,GENERALCOMMENTS,UNIQUEID,CREATED_DATE,LAST_EDITED_DATE,GLOBALID
362566,,1.43441E+12,1000011,North Lorne,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,OCEAN ROAD,4890,F,AH,B100,HALL STREET,259,NORTHEAST,43221.851,LORNE,SURF COAST,SOUTH WESTERN,101H2,-38.526283,143.984512,PICNIC AREA,MINOR,NOT ASSESSED,BEND FLAT,60,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,EXCELLENT,EXCELLENT,GOOD,GOOD,TREES,NO SHADE,NOT ASSESSED,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,15,0,0,,,540,No Defined Car Spaces,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,ADEQUATE,SAFE,SAFE,POOR,NO SIGNS,NO SIGNS,No Comments,SCENIC,Beach Access,No Comments,Emergency Marker 118w,11,1.46295E+12,1.4847E+12,a9fec503-1a7c-49aa-89ea-198780bcf7e5
362567,,1.43441E+12,1000012,Grey River,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,GREAT OCEAN ROAD ALT,89,NORTH,70707.652,GREY RIVER,COLAC OTWAY,SOUTH WESTERN,101F4,-38.68325,143.839478,PICNIC AREA,MINOR,NOT ASSESSED,BEND HILL,80,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,GOOD,NONE,Not Assessed,EXCELLENT,EXCELLENT,NONE,NONE,TREES,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,8,0,0,,,175,No Individual Car Spaces,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,UNSAFE,UNSAFE,POOR,NO SIGNS,NOT ASSESSED,No Comments,PLEASANT,Beach Access,No Comments,No Comments,12,1.46295E+12,1.4847E+12,2ee62277-a727-435c-82c5-85c7bc48bdc9
362568,,1.43441E+12,1000013,Carisbrook Falls,GREAT OCEAN ROAD,EASTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,GREAT OCEAN ROAD ALT,3507,SOUTH,74303.424,WONGARRA,COLAC OTWAY,SOUTH WESTERN,1.01E+07,-38.691906,143.80957,SCENIC LOOKOUT,MINOR,NOT ASSESSED,BEND FLAT,80,VEGETATION,50m,GRAVEL,POOR,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,8,0,0,,,320,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,Scenic Lookout,No Comments,No Comments,13,1.46295E+12,1.4847E+12,d400bfb0-e93e-4c9e-9c77-b4cd0f24319c
362569,,1.43441E+12,1000014,Maits Rest,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,OLD OCEAN ROAD,2395,NORTHEAST,106528.263,CAPE OTWAY,COLAC OTWAY,SOUTH WESTERN,101A6,-38.755844,143.554581,SCENIC LOOKOUT,MINOR,NOT ASSESSED,BEND HILL,80,VEGETATION,20m,ASPHALT,POOR,POOR,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,GOOD,NONE,NO,NO,No Comments,28,0,0,,,1260,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,PLEASANT,Rainforest,No Comments,Rainforest Walk,14,1.46295E+12,1.4847E+12,c3e59095-20f2-475e-bf7a-e0dfaf066916
362570,,1.43441E+12,1000015,Twelve Apostles,GREAT OCEAN ROAD,EASTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,BOORINGA ROAD,5,NORTHWEST,175041.804,PRINCETOWN,CORANGAMITE,SOUTH WESTERN,100C4,-38.661335,143.105423,SCENIC LOOKOUT,MINOR,NOT ASSESSED,BEND FLAT,100,VEGETATION,50m,ASPHALT,EXCELLENT,EXCELLENT,GOOD,EXCELLENT,Not Assessed,NONE,NONE,EXCELLENT,EXCELLENT,COVERED NO WALKWAY,NO SHADE,NOT ASSESSED,ALL DAY,NONE,EXCELLENT,FAST FOOD,NO,NO,Kiosk and information centre,165,12,0,,,10800,12 Designated Bus Spaces,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,EXCELLENT,NO SIGNS,SIGNS INSTALLED,No Comments,PLEASANT,Scenic Lookout,No Comments,No Comments,15,1.46295E+12,1.4847E+12,2e870f26-49c8-4bc8-beec-e663364218d0
362571,,1.43441E+12,1000016,Peterborough Truck Parking,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,TIMBOON-PETERBOROUGH ROAD,495,NORTHWEST,197549.519,PETERBOROUGH,CORANGAMITE,SOUTH WESTERN,1.00E+11,-38.607208,142.891525,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,GRAVEL,POOR,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,2,,,450,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,16,1.46295E+12,1.4847E+12,2b8efc26-062c-4234-9370-ff8578e79b71
362572,,1.43441E+12,1000017,Nirranda,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,BAY OF ISLANDS TRACK,10,NORTH,204325.284,PETERBOROUGH,MOYNE,SOUTH WESTERN,100D9,-38.584713,142.827621,SCENIC LOOKOUT,MINOR,NOT ASSESSED,BEND FLAT,100,VEGETATION,50m,ASPHALT,GOOD,EXCELLENT,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,GOOD,NONE,NO,NO,No Comments,22,1,0,,,600,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,POOR,NO SIGNS,NO SIGNS,No Comments,PLEASANT,Scenic Lookout,No Comments,No Comments,17,1.46295E+12,1.4847E+12,d5b9b0e2-54f8-44c7-ab1f-2d321d0667b8
362573,,1.4345E+12,1000018,Tower Hill Truck Parking,PRINCES HIGHWAY WEST,EASTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,LAKE VIEW ROAD,227,WEST,273887.145,ILLOWA,MOYNE,SOUTH WESTERN,89G7,-38.32803,142.370361,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,STRAIGHT HILL,100,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,TREES,NOT ASSESSED,MIDDAY,NONE,NONE,NONE,NO,NO,No Comments,0,0,1,,,180,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,UNSAFE,NO,NO,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,18,1.46295E+12,1.4847E+12,585c7a37-5fbc-4084-a470-e38d0f2e1aea
362574,,1.4345E+12,1000019,Rosebrook Truck Parking,PRINCES HIGHWAY WEST,WESTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,KORONGAH NORTH ROAD,366,EAST,282829.187,ROSEBROOK,MOYNE,SOUTH WESTERN,89F7,-38.348972,142.275375,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,BEND FLAT,100,VEGETATION,20m,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,POOR,POOR,COVERED NO WALKWAY,TREES,SOME SHADE,MIDDAY,NONE,NONE,NONE,NO,NO,No Comments,0,0,6,,,1200,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,A Lot Of Litter Over The Site,No Comments,19,1.46295E+12,1.4847E+12,d1f8bf6d-276b-4ea3-b3f4-c2675116819e
362575,,1.4345E+12,1000020,,PRINCES HIGHWAY WEST,WESTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,DURA LANE,1021,NORTHWEST,296169.853,PORT FAIRY,MOYNE,SOUTH WESTERN,89D8,-38.375641,142.157166,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,STRAIGHT HILL,100,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,2,,,315,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,NO,NO,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,A Lot Of Litter Over Site,No Comments,20,1.46295E+12,1.4847E+12,9e1f70cc-1903-460c-a82d-d3bf0aa4e407
362576,,1.4345E+12,1000021,,PRINCES HIGHWAY WEST,EASTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,DURA LANE,1388,NORTHWEST,296536.75,PORT FAIRY,MOYNE,SOUTH WESTERN,89D7,-38.372635,142.155411,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,STRAIGHT HILL,100,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,TREES,TREES,SOME SHADE,MORNING,NONE,NONE,NONE,NO,NO,No Comments,0,0,1,,,200,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,NO,NO,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,A Lot Of Litter Over Site,No Comments,21,1.46295E+12,1.4847E+12,0d489810-fcc3-477f-b3d3-c6768fbe0cfa
362577,,1.4345E+12,1000022,,PRINCES HIGHWAY WEST,WESTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,SETTLERS ROAD,829,EAST,329473.336,TYRENDARRA,GLENELG,SOUTH WESTERN,88F5,-38.228947,141.841461,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,BEND FLAT,100,VEGETATION,20m,ASPHALT,POOR,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,0,0,2,,,300,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,UNSAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,22,1.46295E+12,1.4847E+12,eb4ddf1f-0c98-404d-bfee-71f0f1778849
362578,,1.4345E+12,1000023,,PRINCES HIGHWAY WEST,EASTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,TYRENDARRA-ETTRICK ROAD,328,NORTHEAST,334649.517,TYRENDARRA,GLENELG,SOUTH WESTERN,8.80E+06,-38.217297,141.784637,TRUCK PARKING BAY,TRUCK PARKING BAY,NOT ASSESSED,BEND FLAT,100,NONE,NOT ASSESSED,ASPHALT,POOR,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,2,,,320,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,23,1.46295E+12,1.4847E+12,798e71d9-d3c6-4d70-b341-66b5749eb6c4
362579,,1.4345E+12,1000024,Fitzroy River Picnic Area,PRINCES HIGHWAY WEST,WESTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,FITZROY RIVER ROAD,79,WEST,336470.199,TYRENDARRA,GLENELG,SOUTH WESTERN,8.80E+06,-38.220108,141.764313,PICNIC AREA,NON VICROADS,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,COMPACTED DIRT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,0,0,0,,,0,No Parking Space and Have To Park On Grass,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,24,1.46295E+12,1.4847E+12,192aaa02-c698-4b85-a0e5-37071eb37fee
362580,,1.4345E+12,1000025,,PRINCES HIGHWAY WEST,WESTBOUND,PRINCES HIGHWAY WEST,PRINCES HIGHWAY,2500,F,AH,A1,WILKENS LANE,862,NORTHEAST,353155.358,BOLWARRA,GLENELG,SOUTH WESTERN,88B6,-38.294365,141.61496,SCENIC LOOKOUT,NOT ASSESSED,NOT ASSESSED,STRAIGHT HILL,100,VEGETATION,20m,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,GOOD,GOOD,EXCELLENT,EXCELLENT,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,11,0,0,,,140,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,SCENIC,Scenic Lookout,No Comments,No Comments,25,1.46295E+12,1.4847E+12,bf708e5e-41e5-4eda-a53a-6b538856f161
